,Name,Name2,Bedrooms,Price
126,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
127,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
128,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
129,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
130,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
131,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
132,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
133,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
134,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
135,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
136,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
137,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
138,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
139,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
140,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
141,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
142,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
143,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
144,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
145,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
146,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
147,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
148,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
149,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
150,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
151,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
152,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
153,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
154,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
155,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
156,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
157,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
158,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
159,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
160,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
161,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
162,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
163,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
164,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
165,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
166,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
167,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
168,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
169,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
170,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
171,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
